Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2019,2019,2019,6,1,2,Export,51,Armenia,ARM,484,Mexico,MEX,,,,,,,,220820,Spirits obtained by distilling grape wine or grape marc,1,No Quantity,0,,,,2,,64,,,2
H5,2019,2019,2019,6,1,2,Export,51,Armenia,ARM,496,Mongolia,MNG,,,,,,,,220820,Spirits obtained by distilling grape wine or grape marc,1,No Quantity,0,,,,11808,,41254,,,2
H5,2019,2019,2019,6,1,2,Export,51,Armenia,ARM,498,Rep. of Moldova,MDA,,,,,,,,220820,Spirits obtained by distilling grape wine or grape marc,1,No Quantity,0,,,,474867,,1081458,,,2
H5,2019,2019,2019,6,1,2,Export,51,Armenia,ARM,512,Oman,OMN,,,,,,,,220820,Spirits obtained by distilling grape wine or grape marc,1,No Quantity,0,,,,3313,,13290,,,2
H5,2019,2019,2019,6,1,2,Export,51,Armenia,ARM,528,Netherlands,NLD,,,,,,,,220820,Spirits obtained by distilling grape wine or grape marc,1,No Quantity,0,,,,128880,,776739,,,2
H5,2019,2019,2019,6,1,2,Export,51,Armenia,ARM,554,New Zealand,NZL,,,,,,,,220820,Spirits obtained by distilling grape wine or grape marc,1,No Quantity,0,,,,983,,8755,,,2
H5,2019,2019,2019,6,1,2,Export,51,Armenia,ARM,566,Nigeria,NGA,,,,,,,,220820,Spirits obtained by distilling grape wine or grape marc,1,No Quantity,0,,,,20,,8,,,2
H5,2019,2019,2019,6,1,2,Export,51,Armenia,ARM,616,Poland,POL,,,,,,,,220820,Spirits obtained by distilling grape wine or grape marc,1,No Quantity,0,,,,109538,,464508,,,2
H5,2019,2019,2019,6,1,2,Export,51,Armenia,ARM,643,Russian Federation,RUS,,,,,,,,220820,Spirits obtained by distilling grape wine or grape marc,1,No Quantity,0,,,,78689890,,205072971,,,2
H5,2019,2019,2019,6,1,2,Export,51,Armenia,ARM,699,India,IND,,,,,,,,220820,Spirits obtained by distilling grape wine or grape marc,1,No Quantity,0,,,,1440,,7896,,,2
H5,2019,2019,2019,6,1,2,Export,51,Armenia,ARM,702,Singapore,SGP,,,,,,,,220820,Spirits obtained by distilling grape wine or grape marc,1,No Quantity,0,,,,1,,3,,,2
H5,2019,2019,2019,6,1,2,Export,51,Armenia,ARM,703,Slovakia,SVK,,,,,,,,220820,Spirits obtained by distilling grape wine or grape marc,1,No Quantity,0,,,,9,,65,,,2
H5,2019,2019,2019,6,1,2,Export,51,Armenia,ARM,704,Viet Nam,VNM,,,,,,,,220820,Spirits obtained by distilling grape wine or grape marc,1,No Quantity,0,,,,12235,,50229,,,2
H5,2019,2019,2019,6,1,2,Export,51,Armenia,ARM,705,Slovenia,SVN,,,,,,,,220820,Spirits obtained by distilling grape wine or grape marc,1,No Quantity,0,,,,255,,3206,,,2
H5,2019,2019,2019,6,1,2,Export,51,Armenia,ARM,724,Spain,ESP,,,,,,,,220820,Spirits obtained by distilling grape wine or grape marc,1,No Quantity,0,,,,5,,132,,,2
H5,2019,2019,2019,6,1,2,Export,51,Armenia,ARM,752,Sweden,SWE,,,,,,,,220820,Spirits obtained by distilling grape wine or grape marc,1,No Quantity,0,,,,98,,2618,,,2
H5,2019,2019,2019,6,1,2,Export,51,Armenia,ARM,757,Switzerland,CHE,,,,,,,,220820,Spirits obtained by distilling grape wine or grape marc,1,No Quantity,0,,,,25,,2750,,,2
H5,2019,2019,2019,6,1,2,Export,51,Armenia,ARM,784,United Arab Emirates,ARE,,,,,,,,220820,Spirits obtained by distilling grape wine or grape marc,1,No Quantity,0,,,,156,,2465,,,2
H5,2019,2019,2019,6,1,2,Export,51,Armenia,ARM,795,Turkmenistan,TKM,,,,,,,,220820,Spirits obtained by distilling grape wine or grape marc,1,No Quantity,0,,,,19379,,55767,,,2
H5,2019,2019,2019,6,1,2,Export,51,Armenia,ARM,804,Ukraine,UKR,,,,,,,,220820,Spirits obtained by distilling grape wine or grape marc,1,No Quantity,0,,,,4548435,,11724168,,,2
H5,2019,2019,2019,6,1,2,Export,51,Armenia,ARM,826,United Kingdom,GBR,,,,,,,,220820,Spirits obtained by distilling grape wine or grape marc,1,No Quantity,0,,,,128857,,350884,,,2
H5,2019,2019,2019,6,1,2,Export,51,Armenia,ARM,842,USA,USA,,,,,,,,220820,Spirits obtained by distilling grape wine or grape marc,1,No Quantity,0,,,,379156,,2702368,,,2
H5,2019,2019,2019,6,1,2,Export,51,Armenia,ARM,860,Uzbekistan,UZB,,,,,,,,220820,Spirits obtained by distilling grape wine or grape marc,1,No Quantity,0,,,,8085,,53203,,,2
H5,2019,2019,2019,6,1,2,Export,51,Armenia,ARM,899,"Areas, nes",,,,,,,,,220820,Spirits obtained by distilling grape wine or grape marc,1,No Quantity,0,,,,325980,,3522479,,,2
